,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Importer,Name,Price,Province,Rating,Region,Reviewer,Reviewer Twitter Handle,Subregion,User Avg Rating,Variety,Vintage,Winery
0,12.4%,"Napa Valley, Napa, California, US",750 ml,White, US,9/1/2019,"Made from 48% Tocai Friulano, 41% Ribolla Gialla and 11% Chardonnay, this is fresh and floral in tones of lemon rind, white flower and green apple. Fermented in both French oak and stainless steel, it is structured yet vibrant, gorgeously aromatic and remarkably long-lasting on the palate.",Annia,,Massican 2018 Annia White (Napa Valley),$30, California,97, Napa,Virginie Boone,@vboone,Napa Valley,Not rated yet [Add Your Review],White Blend,2018,Massican
1,12.4%,"California, California Other, California, US",750 ml,White, US,9/1/2019,"Gemina is 69% Pinot Grigio and 31% Greco, from two vineyards, one in St. Helena and the other in Santa Rosa. With the goal of showcasing both northern and southern Italian inspiration, it deals in fresh lemon peel, white flower and gravelly texture, while being well structured and enduringly fresh. This is a truly lovely, revelatory wine.",Gemina,,Massican 2018 Gemina White (California),$30, California,96, California Other,Virginie Boone,@vboone,California,Not rated yet [Add Your Review],White Blend,2018,Massican
2,13%,"Wiener Gemischter Satz, Austria",750 ml,White, Austria,9/1/2019,"Hay flowers, a flinty whiff of reduction and fresh apple on the nose promise freshness. The concentrated palate honors this promise with lovely tart but ripe apple as well as ripe lemon framing delightful notes of stone fruit. Stony, earthy notions echo in the background, while tart apple takes center stage. The finish is dry, fresh and very appetizing.",Bisamberg,Craft + Estate–Winebow,Wieninger 2018 Bisamberg White (Wiener Gemischter Satz),$33,Wiener Gemischter Satz,93,,Anne Krebiehl MW,@AnneInVino,,Not rated yet [Add Your Review],"Austrian white blend, White Blend",2018,Wieninger
3,12.5%,"Weinland Österreich, Austria",750 ml,White, Austria,9/1/2019,"Melted butter richness on the nose combines with purest notes of fresh apple and hints of dried orange peel. The same creamy intensity surrounds the palate, pervaded by intense green apple freshness. This is both rich and slender, unusual but beguiling with its dry, vivid finish.",Naked White,Craft + Estate–Winebow,Gernot and Heike Heinrich 2017 Naked White White (Weinland Österreich),$21,Weinland Österreich,92,,Anne Krebiehl MW,@AnneInVino,,Not rated yet [Add Your Review],"Austrian white blend, White Blend",2017,Gernot and Heike Heinrich
4,12%,"Niederösterreich, Austria",750 ml,White, Austria,9/1/2019,"The beautiful aromatics of a freshly cut russet apple are pure and pristine on the nose. The palate is rounded with that juicy fruit but contoured with freshness. This is lovely, pure, juicy and moreish, with a lasting, appetizing finish.",Gemischter Satz,"Skurnik Wines, Inc",Bernhard Ott 2018 Gemischter Satz White (Niederösterreich),$22,Niederösterreich,92,,Anne Krebiehl MW,@AnneInVino,,Not rated yet [Add Your Review],"Austrian white blend, White Blend",2018,Bernhard Ott
5,13.5%,"Wiener Gemischter Satz, Austria",750 ml,White, Austria,9/1/2019,"A touch of dried hay flowers and notions of ripe, red apple combine on the appetizing nose. The palate comes in with precise slenderness that highlights white apple and pear flesh and juiciness. There is something deeply zesty at the core that makes this utterly moreish and so fresh.",Ried Weisleiten,Circo Vino,Hajszan Neumann 2017 Ried Weisleiten White (Wiener Gemischter Satz),$35,Wiener Gemischter Satz,92,,Anne Krebiehl MW,@AnneInVino,,Not rated yet [Add Your Review],"Austrian white blend, White Blend",2017,Hajszan Neumann
6,12.5%,"Weinland Österreich, Austria",750 ml,White, Austria,9/1/2019,"Saffron and iron oxide hints on the nose have a notion of stone and orange peel. The palate comes with exquisite slenderness and stony, bright citrus, reminiscent of dried orange peel. A lovely phenolic web of tannins gives structure and fine poise, while the finish is resolutely dry and wonderfully fresh. A very elegant orange wine.",Graue Freyheit,Craft + Estate–Winebow,Gernot and Heike Heinrich 2017 Graue Freyheit White (Weinland Österreich),$60,Weinland Österreich,92,,Anne Krebiehl MW,@AnneInVino,,Not rated yet [Add Your Review],White Blend,2017,Gernot and Heike Heinrich
7,13.3%,"Central Coast, Central Coast, California, US",750 ml,White, US,9/1/2019,"Floral aromas of tuberose and plumeria are crisp and not overbearing on the nose of this white blend, with additional hints of orange cream and lemongrass. The palate shows a prominent candied-honeydew flavor as well as lime peel and guava, all leveled by lively acid.",Cold Roses,,Bushong 2018 Cold Roses White (Central Coast),$25, California,91, Central Coast,Matt Kettmann,@mattkettmann,Central Coast,Not rated yet [Add Your Review],White Blend,2018,Bushong
8,12.5%,"Entre-Deux-Mers, Bordeaux, France",750 ml,White, France,9/1/2019,"Tight and mineral driven, this wine is full bodied and will be fruity as it develops further. For now, the texture is the thing, so wait a bit for flavors to ripen. Drink this André Lurton wine from 2020.",,Saranty Imports,Château Tour de Bonnet 2018  Entre-Deux-Mers,$18, Bordeaux,91,Entre-Deux-Mers,Roger Voss,@vossroger,,Not rated yet [Add Your Review],"Bordeaux-style White Blend, White Blend",2018,Château Tour de Bonnet
9,12.5%,"Niederösterreich, Austria",750 ml,White, Austria,9/1/2019,"Fresh green apple, green pear and crushed yarrow on the nose promise vivid flavors. The palate obliges with slender, clean-cut freshness, assisted by some slight spritz and lots of yellow apple fruitiness. This is bright, easy, slender and entirely appetizing.",Braitenpuechtorff Gemischter Satz,Circo Vino,Ingrid Groiss 2018 Braitenpuechtorff Gemischter Satz White (Niederösterreich),$18,Niederösterreich,91,,Anne Krebiehl MW,@AnneInVino,,Not rated yet [Add Your Review],"Austrian white blend, White Blend",2018,Ingrid Groiss
