,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Importer,Name,Price,Province,Rating,Region,Reviewer,Reviewer Twitter Handle,Subregion,User Avg Rating,Variety,Vintage,Winery
0,14.8%,"Lodi, Central Valley, California, US",750 ml,Red, US,6/1/2019,"This beautifully composed wine tastes complex, flavorful but elegant at the same time. Enticing black-cherry and black-currant aromas are followed by warm and layered fruit and baking-spice flavors that fill the palate and linger nicely on the finish. It shows a fine balance between exuberant fruit and subtle oak spices, all nicely framed by soft tannins.",Lot No. 87,,Jeremy Wine Co 2016 Lot No. 87 Tempranillo (Lodi),$28, California,93, Central Valley,Jim Gordon,@gordone_cellars,Lodi,Not rated yet [Add Your Review],Tempranillo,2016,Jeremy Wine Co
1,15%,"El Dorado, Sierra Foothills, California, US",750 ml,Red, US,6/1/2019,"Excellent fruit concentration and a deft touch of spicy oak make this full-bodied well-balanced wine tempting and delicious. It's the first vintage from Starfield's estate vineyard, and was aged in 50% new French and American barrels. The stand-out wine marries layers of black cherry and black currants with mild cinnamon and nutmeg nuances on a velvety-smooth texture.",,,Starfield 2016 Tempranillo (El Dorado),$28, California,93, Sierra Foothills,Jim Gordon,@gordone_cellars,El Dorado,Not rated yet [Add Your Review],Tempranillo,2016,Starfield
2,14.2%,"Livermore Valley, Central Coast, California, US",750 ml,Red, US,6/1/2019,"This is a full-bore full-bodied wine that is not at all shy about its oak spiciness and potent ripe fruit core. Cedar, vanilla and cinnamon nuances in the aroma lead to vibrant black-cherry and dark-chocolate flavors while, a velvety coat of tannins forms a big but smooth texture.",Estate,,Las Positas 2015 Estate Tempranillo (Livermore Valley),$42, California,92, Central Coast,Jim Gordon,@gordone_cellars,Livermore Valley,Not rated yet [Add Your Review],Tempranillo,2015,Las Positas
3,14.2%,"Clarksburg, Central Valley, California, US",750 ml,Red, US,6/1/2019,"This broad rich wine shows plenty of spicy mellow fruit and oak character and a melt-in-your-mouth texture. It spent an extra-long 34 months in older barrels and tastes like warm cherry pie with a touch of brown sugar, yet without the sweetness.",Lake Family,,Spann Vineyards 2015 Lake Family Tempranillo (Clarksburg),$25, California,90, Central Valley,Jim Gordon,@gordone_cellars,Clarksburg,Not rated yet [Add Your Review],Tempranillo,2015,Spann Vineyards
4,13.8%,"Arroyo Seco, Central Coast, California, US",750 ml,Red, US,6/1/2019,"This is a fresh take on an often hearty and rustic grape, beginning with lively aromas of blackberry, wet gravel and roasted wood on the nose. The palate is bright yet tense, offering boysenberry and rose-petal flavors while remaining light on its feet.",,,Morgan 2017 Tempranillo (Arroyo Seco),$24, California,90, Central Coast,Matt Kettmann,@mattkettmann,Arroyo Seco,Not rated yet [Add Your Review],Tempranillo,2017,Morgan
5,14%,"Yolo County, Central Valley, California, US",750 ml,Red, US,6/1/2019,"This wine is beautifully balanced: fresh and spicy, showing lots of blackberry and black-cherry flavors, a lively mouthfeel and medium body. It will be easy to drink and a snap to pair with food from Korean barbecue to fried chicken.",,,Berryessa Gap 2016 Tempranillo (Yolo County),$26, California,90, Central Valley,Jim Gordon,@gordone_cellars,Yolo County,Not rated yet [Add Your Review],Tempranillo,2016,Berryessa Gap
6,14.7%,"Madera, Central Valley, California, US",750 ml,Red, US,6/1/2019,"Aromas like grilled beef and black pepper lead to gutsy fruit flavors and a firmly tannic texture in this full-bodied, flavorful but not overripe wine. Smoky spicy notes prevail and the wine's balance favors a bit of restraint.",Reserve Estate Bottled,,Toca Madera 2015 Reserve Estate Bottled Tempranillo (Madera),$32, California,89, Central Valley,Jim Gordon,@gordone_cellars,Madera,Not rated yet [Add Your Review],Tempranillo,2015,Toca Madera
7,14.2%,"Fair Play, Sierra Foothills, California, US",750 ml,Red, US,6/1/2019,"Full in body and wonderfully plummy in flavor, this medium- to full-bodied wine feels warm and broad and has uncomplicated, persistent fruit flavors that are easy to appreciate. A light wrapping of fine-grained tannins adds to the texture.",Reserve Verbitksy Vineyard,,Charles B. Mitchell 2016 Reserve Verbitksy Vineyard Tempranillo (Fair Play),$28, California,89, Sierra Foothills,Jim Gordon,@gordone_cellars,Fair Play,Not rated yet [Add Your Review],Tempranillo,2016,Charles B. Mitchell
8,12.5%,"Madera, Central Valley, California, US",750 ml,Red, US,6/1/2019,Black pepper and cedar aromas and fresh grapey plummy flavors make this light-bodied wine likeable and a bit distinctive. It has mild tannins to keep the texture smooth and velvety.,Estate Bottled,,Toca Madera 2016 Estate Bottled Tempranillo (Madera),$24, California,88, Central Valley,Jim Gordon,@gordone_cellars,Madera,Not rated yet [Add Your Review],Tempranillo,2016,Toca Madera
9,14.5%,"Monterey, Central Coast, California, US",750 ml,Red, US,6/1/2019,"Rich aromas of black currant, kirsch, cold-brewed coffee and loamy soil show on the nose of this bottling. The palate is thick with tannins that are both chunky and polished, carrying very dark-black-fruit flavors.",Spanish Castle Magic,,Bushong 2016 Spanish Castle Magic Tempranillo (Monterey),$39, California,88, Central Coast,Matt Kettmann,@mattkettmann,Monterey,Not rated yet [Add Your Review],Tempranillo,2016,Bushong
